"CustomerID","Churn","MonthlyRevenue","MonthlyMinutes","TotalRecurringCharge","DirectorAssistedCalls","OverageMinutes","PercChangeMinutes","PercChangeRevenues","DroppedCalls","BlockedCalls","UnansweredCalls","CustomerCareCalls","ReceivedCalls","OutboundCalls","InboundCalls","PeakCallsInOut","OffPeakCallsInOut","DroppedBlockedCalls","MonthsInService","UniqueSubs","ActiveSubs","Handsets","CurrentEquipmentDays","AgeHH1","ChildrenInHH","HandsetRefurbished","TruckOwner","Homeownership","BuysViaMailOrder","RespondsToMailOffers","HasCreditCard","RetentionCalls","NewCellphoneUser","NotNewCellphoneUser","IncomeGroup","MadeCallToRetentionTeam","CreditRating","PrizmCode","Occupation","MaritalStatus"
3006802,"Yes",87.39,669,45,0.5,120,183,16.4,5,6.7,30.7,0,134.2,27,4,140.3,96,11.7,48,1,1,3,596,0,"No","Yes","No","Unknown","No","No","No",0,"Yes","No",0,"No","3-Good","Suburban","Other","Unknown"
3232842,"No",46.15,282,60,0.74,0,68,0.8,1.3,1.7,17.7,1.3,46.2,16.3,0.3,57,37.3,3,11,1,1,2,30,34,"No","No","No","Known","No","No","Yes",0,"No","No",7,"No","5-Low","Suburban","Other","No"
3250078,"No",81.79,670,60,0,106,-42,-31.8,2,0.3,32.3,0.7,77.9,31.3,12.7,115,27,2.3,16,2,2,1,475,28,"Yes","No","No","Known","No","No","Yes",0,"No","No",4,"No","3-Good","Suburban","Professional","Yes"
3390018,"Yes",60.03,1033,50,0,31,-1033,-6,15.3,0.7,38.3,4.7,632.2,32,10.7,104.7,137.3,16,7,5,3,1,185,40,"Yes","No","No","Unknown","No","No","Yes",0,"No","No",5,"No","3-Good","Other","Professional","Yes"
3389334,"No",65,842,50,1.73,58,536,44,4.3,37.7,16,1.3,218.3,32.7,7,71.3,89.7,42,7,2,1,1,189,0,"No","No","No","Known","No","No","Yes",0,"No","No",7,"No","3-Good","Suburban","Other","No"
3055114,"No",39.79,251,45,0,12,-13,-4.8,5.3,0.7,11.3,0,47.6,23.7,3.3,48,41.3,6,31,1,1,1,939,24,"No","No","No","Known","No","No","Yes",0,"No","No",3,"No","3-Good","Suburban","Crafts","Yes"
3316562,"Yes",47.85,1033,45,0,37,28,14.1,16,1.3,40,1.7,424.6,59.3,11.3,120.7,229.3,17.3,13,1,1,1,381,58,"Yes","No","No","Known","No","No","Yes",0,"No","No",7,"No","3-Good","Suburban","Other","Unknown"
3344282,"Yes",90.88,248,30,0.5,106,54,-39.9,0.7,4.3,35.7,2.7,61.8,16.3,0.7,34,61.3,10.7,6,2,1,1,188,42,"Yes","No","Yes","Known","No","No","Yes",0,"Yes","No",1,"No","2-High","Other","Other","No"
3361834,"No",30.18,113,40,0,0,11,-0.2,0,1.3,5.7,0,23.2,5.7,0,41.7,14,1.3,11,1,1,1,319,48,"Yes","No","Yes","Known","Yes","Yes","Yes",0,"No","No",7,"No","2-High","Other","Professional","Yes"
3032294,"Yes",118.49,550,50,0.25,162,-90,-40.8,28,1.7,44.7,1.7,173.3,24,5,165.7,63,29.7,36,3,1,4,342,40,"Yes","No","No","Known","Yes","Yes","Yes",0,"No","Yes",4,"No","1-Highest","Other","Professional","Yes"
3067342,"No",17.8,5,17,0,4,-4,-1.7,0,0,0,0,0,0,0,0,0,0,26,3,2,2,299,44,"No","No","Yes","Known","Yes","Yes","Yes",0,"No","Yes",9,"No","1-Highest","Town","Professional","Yes"
3031466,"No",82.06,1950,75,2.23,15,244,10.9,39.3,5,253.7,2,472.1,135.7,72.7,787.3,384,44.3,34,2,1,5,181,0,"No","No","No","Unknown","No","No","No",0,"Yes","No",0,"No","3-Good","Other","Other","Unknown"
3303466,"No",151.99,866,45,1.49,170,-866,-117,11.7,0.7,39,1,164.1,64.3,10.7,124.7,171,12.3,7,2,1,2,199,26,"No","No","No","Known","No","No","Yes",0,"No","Yes",6,"No","5-Low","Other","Other","Yes"
3055194,"No",58.44,492,50,2.72,8,-88,-4.2,2,0.7,112.3,18.7,146.3,21.7,3.7,156,134,2.7,27,1,1,4,277,52,"No","No","No","Known","No","No","Yes",0,"Yes","No",3,"No","5-Low","Other","Retired","Yes"
3267586,"Yes",53.71,662,36,0.5,47,285,43,18,3.7,67.3,0.7,159.7,27.7,20,216.7,97,21.7,9,1,1,2,54,28,"No","No","No","Unknown","No","No","No",0,"No","No",1,"No","5-Low","Other","Other","Unknown"
3268930,"No",97.48,306,81,0.99,0,-149,-33.5,9.3,0.3,2,1,22.3,23.3,4.7,66.3,59.3,9.7,9,2,2,2,172,44,"No","Yes","Yes","Known","No","No","Yes",0,"No","No",4,"No","5-Low","Suburban","Other","Yes"
3294454,"No",106.39,1792,68,0.5,143,-72,-31,0,0,0,0,0,0,0,0,0,0,14,1,1,1,405,26,"No","No","Yes","Known","No","No","Yes",0,"No","No",7,"No","3-Good","Suburban","Other","Yes"
3315402,"No",44.34,378,45,0.25,25,-101,-9.3,1,6.3,52.7,3,78.9,14.7,2.7,132.3,56,7.3,13,4,2,2,378,32,"No","No","Yes","Unknown","No","No","No",0,"No","Yes",1,"No","4-Medium","Other","Other","Yes"
3113986,"Yes",38.25,803,41,0,0,-76,-2.3,3,0,22.3,6,111.5,43.3,12.3,45,91.3,3,25,2,1,1,749,30,"Yes","No","No","Known","No","No","Yes",1,"No","No",5,"Yes","2-High","Other","Other","No"
